,ID,board_t,env_t,light_strength,efficiency,efficiency_A,efficiency_B,efficiency_C,V_A,V_B,V_C,I_A,I_B,I_C,P_A,P_B,P_C,P_avg,wind_speed,wind_direction,y,predicted_V_A,predicted_V_B,predicted_V_C,predicted_I_A,predicted_I_B,predicted_I_C
485,1070,-1.22,-5.4,275,847.34,2174.64,339.75,27.63,290,300,651.280389,6.98,6.99,7,2024.2,2097,4558.962723,2893.387574,2.6,271,,703.9304245,694.9419758,590.2224634,4.446514996,5.047533841,3.803338302
694,1565,-2.46,-11.9,264,2028.03,6011.93,69.3,2.86,36,40,751.2914239,6.81,6.83,6.82,245.16,273.2,5123.807511,1880.722504,2.2,101,,518.9886249,641.3706947,577.0613197,2.353853696,5.704694434,7.563445284
1592,3597,-12,-11.5,60,9237.53,27314.65,387.68,10.25,555,559,741.2835848,6.85,6.77,6.79,3801.75,3784.43,5033.315541,4206.498514,0.4,343,,518.350086,641.3941656,589.4706872,3.422848028,5.914054801,7.563445284
427,948,-16.75,-14.3,9,61448.54,183289.38,1042.71,13.54,37,39,589.1268291,6.77,6.78,6.78,250.49,264.42,3994.279901,1503.0633,0.7,248,,470.0574194,641.0929368,589.1268291,3.054083734,5.823513324,7.484524593
3331,7437,0.17,-6414.2,627,792.66,40.19,29.43,2308.37,37,37,590.2224634,6.53,6.45,6.52,241.61,238.65,3848.250462,1442.836821,2.4,619,,745.3050053,736.013713,751.2914239,6.057708563,6.581176796,6.920051901
1615,3645,-6.06,-9.8,306,15.87,14.63,15.53,17.46,34,38,589.4706872,6.64,6.65,6.52,225.76,252.7,3843.34888,1440.60296,0.8,322,,752.0090422,747.8618135,753.2055281,1.755323136,1.774146743,1.885264736
2097,4718,4.66,-7,253,27.94,12.23,59.77,11.84,807,831,577.0613197,9,6.4,6.37,7263,5318.4,3675.880607,5419.093536,0,259,,727.010975,654.2794246,651.280389,1.219837459,6.78822743,1.377913444
1616,3647,-5.12,-9.3,309,16.96,15.81,16.61,18.46,563,641.0929368,30,6.95,6.97,7.484524593,3912.85,4468.417769,224.5357378,2868.601169,0.4,266,,752.25155,750.0148119,753.6828445,1.967376669,1.903733096,2.159863992
1614,3643,-6.62,-9.7,269,16.05,15.33,15.11,17.72,553,641.3941656,27,7.07,7.07,7.563445284,3909.71,4534.656751,204.2130227,2882.859924,0.9,5,,753.0949955,742.411256,751.3744975,1.592842608,1.513577071,1.826522393
1613,3641,-7.56,-9.9,232,14.46,14.41,13.61,15.35,297,736.013713,18,7.06,7.06,6.920051901,2096.82,5196.256814,124.5609342,2472.545916,0,285,,754.2428997,736.9897482,740.0575501,1.133509946,1.250516244,1.543721797
1742,3908,-10.6,-15,18,212.11,113.5,385.25,137.57,114,641.3706947,14,7.22,7.28,7.563445284,823.08,4669.178657,105.888234,1866.048964,2.2,346,,747.9673128,730.846814,741.2835848,0.671542297,1.505616473,0.94541327
3757,8337,-7.56,-9.7,297,23.61,24.06,21.6,25.19,641,634,777,8.41,8.58,8.11,5390.81,5439.72,6301.47,5710.67,3.1,272,,752.8192742,759.8105652,755.3850771,2.550209182,2.399628865,2.833204121
3756,8336,-7.73,-9.9,277,23.88,24.12,22.59,24.93,700,681,644,7.79,8.94,9.65,5453,6088.14,6214.6,5918.58,2.9,290,,753.6360742,759.2542188,755.0461741,2.483165691,2.317235915,2.744102887
1619,3655,-5.43,-9.5,222,15.87,14.91,16.05,16.64,687,682,639,8.19,8.05,9.58,5626.53,5490.1,6121.62,5746.08,2.4,43,,753.4004312,740.7089206,741.0827424,1.30836183,1.329236853,1.367631839
3758,8338,-7.25,-9.4,314,22.91,23.01,21.39,24.34,637,654,632,2.04,5.81,9.48,1299.48,3799.74,5991.36,3696.86,2,262,,752.8490316,759.4302932,755.653651,2.675650517,2.418359212,2.900877723
1617,3649,-4.69,-9.5,227,16.89,16.52,16.97,17.18,663,657,661,8.61,8.79,9,5708.43,5775.03,5949,5810.82,1,337,,751.6870237,739.8337532,740.840634,1.399622224,1.302109619,1.498377557
1620,3656,-5.52,-9.5,216,16.02,15.07,16,17.01,627,621,615,8.92,9.32,9.67,5592.84,5787.72,5947.05,5775.87,1,259,,753.4995333,740.5641402,740.6602796,1.239638845,1.289169222,1.362566979
1637,3699,-6.58,-9,219,15.35,17.85,17.18,11.02,664,659,661,8.37,8.73,8.93,5557.68,5753.07,5902.73,5737.83,1.7,347,,739.013668,735.8606056,738.2544318,0.98825697,1.44560542,1.291661509
2100,4725,8.68,-7.5,250,28.3,14.12,58.5,12.27,649,647,647,8.77,8.9,9.1,5691.73,5758.3,5887.7,5779.24,0.7,131,,748.3786801,658.6587519,664.2953776,1.365578105,6.64096463,1.344788939
3755,8334,-8.12,-10.1,254,24.08,23.84,22.35,26.06,608,604,601,9.57,9.57,9.79,5818.56,5780.28,5883.79,5827.54,3.8,280,,753.5482898,759.9770658,754.6608718,2.305917699,2.084159228,2.429290871
1621,3658,-5.83,-9,201,15.63,15.65,15.51,15.73,654,649,651,8.87,8.9,9.03,5800.98,5776.1,5878.53,5818.54,0.7,1,,749.3792944,737.4744684,740.8040013,1.150874273,1.296654101,1.225017713
3759,8339,-6.91,-9.4,316,23.7,23.8,22.45,24.85,651,646,648,8.81,8.92,9.07,5735.31,5762.32,5877.36,5791.66,3,273,,752.5895089,758.474643,756.0869757,2.846910113,2.662991701,2.981239441
